ID,Group,Credit,Title,Prof,Time,Description,URL
27155,1,2,سرامیک‌های نانوساختار,آدرینه ملک خاچاطوریان,دوشنبه 13 تا 15,کنفرانس 2,cw.sharif.edu
27262,1,2,محاسبات عددی,سعید خانی مقانکی,دوشنبه 15 تا 17,,
27293,1,3,ترمودینامیک متالورژی ‌پیشرفته,سیدخطیب الاسلام صدرنژاد,شنبه و دوشنبه 10:30 تا 12,کنفرانس 2,cw.sharif.edu
27295,1,2,ترمودینامیک پیشرفته مواد ,عبدالرضا سیم چی,یک‌شنبه و سه‌شنبه 9 تا 10,کنفرانس 1,cw.sharif.edu
27296,1,2,ترمودینامیک مواد ۲,محمدرضا محمدی,یک‌شنبه 13 تا 15,,cw.sharif.edu
27297,1,2,ترمودینامیک الکتروشیمی,ابوالقاسم دولتی,سه‌شنبه 8:30 تا 10:30,,cw.sharif.edu
27404,1,1,آز اصول حفاظت,محمد قربانی,چهارشنبه 13:30 تا 16:30,,
27504,1,1,آز بررسی علل تخریب ,عبداله افشار,شنبه 16:30 تا 19:30,,
27701,1,1,آز شکل‌دادن فلزات ۱,عباس اکبرزاده چنگیز,دوشنبه 13:30 تا 16:30,,
27701,2,1,آز شکل‌دادن فلزات ۱,عباس اکبرزاده چنگیز,چهارشنبه 16:30 تا 19:30,,
27702,1,1,آز اتصال فلزات,مجتبی موحدی,شنبه 13:30 تا 16:30,,
27751,1,3,روش‌های نوین مطالعه مواد و آز,سیروس عسگری,شنبه 10:30 تا 12:30، دوشنبه 10:30 تا 13:30,"کنفرانس 1
مخصوص دانشجویان گرایش انتخاب شناسایی مواد",cw.sharif.edu
27751,2,3,روش‌های نوین مطالعه مواد و آز,محمد قربانی,یک‌شنبه 13:30 تا 15:30، سه‌شنبه 13:30 تا 16:30,,cw.sharif.edu
27751,3,3,روش‌های نوین مطالعه مواد و آز,محمد قربانی,شنبه 16:30 تا 19:30، یک‌شنبه 13:30 تا 15:30,,
27753,1,3,فرآیندهای نوین ساخت سرامیک‌ها,آدرینه ملک خاچاطوریان,شنبه و دوشنبه 10:30 تا 12,,cw.sharif.edu
27758,1,2,سرامیک‌های الکتریکی و مغناطیسی,علی نعمتی,چهارشنبه 8 تا 10,کنفرانس 1,cw.sharif.edu
27759,1,3,طراحی فرآیندهای تولید مواد,مسعود عسگری، نیکتا شاهچراغی,یک‌شنبه و سه‌شنبه 17 تا 18:30,,cw.sharif.edu
27781,1,3,تئوری فرآیندهای پیرومتالورژی ,ماندانا عادلی,چهارشنبه 13 تا 16,,
27785,1,2,استخراج فلزات نادر,مسعود عسگری,دوشنبه 10:30 تا 12:30,,cw.sharif.edu
27809,1,1,آز فرآیندهای متالورژی,سیدخطیب الاسلام صدرنژاد,چهارشنبه 13:30 تا 16:30,,
27818,1,3,خواص فیزیکی پیشرفته مواد,علی نعمتی,دوشنبه و چهارشنبه 17 تا 18:30,کنفرانس 2,cw.sharif.edu
27828,1,3,شکل‌دادن ۲ ,محسن کاظمی نژاد,یک‌شنبه و سه‌شنبه 9 تا 10:30,,vc.sharif.edu/mkazemi
27832,1,3,روش‌های پیشرفته جوشکاری ,امیرحسین کوکبی,یک‌شنبه و سه‌شنبه 7:30 تا 9,کنفرانس 2,cw.sharif.edu
27835,1,3,مکانیک شکست,علی اکبر اکرامی,یک‌شنبه و سه‌شنبه 10:30 تا 12,کنفرانس 1,cw.sharif.edu
27837,1,1,آز جوشکاری پیشرفته ,مجتبی موحدی,چهارشنبه 13:30 تا 16:30,,
